,X,Y,Elevation,Distance,tau,geometry
217,664429.65661,3596904.15221,3166.0,7191.686142824227,2072599.7352905532,POINT (664429.6566099999 3596904.15221)
218,667129.65661,3596904.15221,3455.0,10476.610383315972,3242936.733677276,POINT (667129.6566099999 3596904.15221)
219,668089.65661,3596904.15221,3563.0,11730.58007951267,3792068.3954332126,POINT (668089.6566099999 3596904.15221)
220,664399.65661,3596874.15221,3157.0051,7131.686142824227,2053567.8747240733,POINT (664399.6566099999 3596874.15221)
221,664429.65661,3596874.15221,3159.0,7161.686142824227,2063081.6915840744,POINT (664429.6566099999 3596874.15221)
222,667159.65661,3596874.15221,3455.0073,10519.036790187165,3259123.9146814104,POINT (667159.6566099999 3596874.15221)
223,668089.65661,3596874.15221,3554.0,11700.58007951267,3773307.8997640037,POINT (668089.6566099999 3596874.15221)
224,664399.65661,3596844.15221,3157.0,7101.686142824227,2044055.4272962369,POINT (664399.6566099999 3596844.15221)
225,667189.65661,3596844.15221,3455.0146,10561.463197058358,3275320.2823046483,POINT (667189.6566099999 3596844.15221)
226,667219.65661,3596844.15221,3461.0,10591.463197058358,3286792.2614892595,POINT (667219.6566099999 3596844.15221)
227,667249.65661,3596844.15221,3467.0,10621.463197058358,3298264.4689496798,POINT (667249.6566099999 3596844.15221)
228,668089.65661,3596844.15221,3549.0,11670.58007951267,3754547.8742289967,POINT (668089.6566099999 3596844.15221)
229,664399.65661,3596814.15221,3156.0,7071.686142824227,2034546.7800206528,POINT (664399.6566099999 3596814.15221)
230,667279.65661,3596814.15221,3472.0,10663.88960392955,3314489.158434667,POINT (667279.6566099999 3596814.15221)
231,667309.65661,3596814.15221,3472.0051,10693.88960392955,3325961.8986040563,POINT (667309.6566099999 3596814.15221)
232,667339.65661,3596814.15221,3472.0103,10723.88960392955,3337483.6568255196,POINT (667339.6566099999 3596814.15221)
233,667369.65661,3596814.15221,3472.0154,10753.88960392955,3349006.961807761,POINT (667369.6566099999 3596814.15221)
234,667639.65661,3596814.15221,3492.0,11073.595231414321,3472026.441518315,POINT (667639.6566099999 3596814.15221)
235,667669.65661,3596814.15221,3492.0051,11103.595231414321,3483584.2838700865,POINT (667669.6566099999 3596814.15221)
236,667699.65661,3596814.15221,3495.0,11133.595231414321,3495159.696662756,POINT (667699.6566099999 3596814.15221)
237,668089.65661,3596814.15221,3545.0,11640.58007951267,3735788.3187845713,POINT (668089.6566099999 3596814.15221)
238,664399.65661,3596784.15221,3153.0,7041.686142824227,2025038.1708869792,POINT (664399.6566099999 3596784.15221)
239,667399.65661,3596784.15221,3473.0,10796.316010800743,3365310.7118855226,POINT (667399.6566099999 3596784.15221)
240,667429.65661,3596784.15221,3474.0,10826.316010800743,3376839.4365917915,POINT (667429.6566099999 3596784.15221)
241,667549.65661,3596784.15221,3484.0,10971.168824543129,3432576.2190152765,POINT (667549.6566099999 3596784.15221)
242,667579.65661,3596784.15221,3485.0,11001.168824543129,3444129.215538732,POINT (667579.6566099999 3596784.15221)
243,667609.65661,3596784.15221,3490.0,11031.168824543129,3455682.2901610327,POINT (667609.6566099999 3596784.15221)
244,667729.65661,3596784.15221,3497.0,11176.021638285514,3511530.02491509,POINT (667729.6566099999 3596784.15221)
